"Applicant Name","Applicant House Number","Applicant Street Name","Applicant Address 2","Applicant City","Applicant State","Applicant Postcode","Applicant Phone","Project Name","Project Borough","New Construction/Rehabilitation","DOCE Amount","Credit Year","DOCE Date","Total Units","Total Tax Credit Units","Application Year","Applicant Borough","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020) (from 2023)","Neighborhood Tabulation Area (NTA) (2020) (from 2023)"
"BGD III Owners LLC","1865","Palmer Avenue","#203","Larchmont","NY","10538","(212)233-0495","Beach Green Dunes III","Queens","New Construction","$   4,409,102","2022","12/16/2022","146","145","2022",,,,,,,,,
"Marcus Garvey Apartments LP","2005","Adam Clayton Powell Jr Boulevard","N/A","New York","NY","10027","(212)776-1919","Marcus Garvey Village","Manhattan","New Construction","$   4,372,897","2022","12/16/2022","169","168","2022","Manhattan",,,,,,,,
"326 Rockaway Owner LLC","38","East 29th Street","N/A","New York","NY","10016","(646)439-4000","Riseboro Slate 326 Rockaway Ave","Brooklyn","New Construction","$   6,225,400","2022","12/14/2022","216","215","2022","Manhattan","40.744436","-73.984807","105","2","1016915","1008580049","74","MN0501"
"Spring Creek 4C Owner LLC","155","Third Street","N/A","Brooklyn","NY","11231","(347)554-1033","Nehemiah Spring Creek Phase 4C","Brooklyn","New Construction","$   4,473,181","2022","12/16/2022","240","239","2022","Brooklyn","40.676493","-73.990915","306","39",,,"77","BK0601"
"Atlantic Chestnut II Associates LIHTC LLC","902","Broadway","N/A","New York","NY","10010","(646)388-8133","Atlantic Chestnut 2","Brooklyn","New Construction","$   11,177,505","2022","12/14/2022","399","398","2022","Manhattan","40.739279","-73.989726","105","2","1016201","1008490016","52","MN0501"
"Bushwick Senior Housing LLC","233","Linden Street","N/A","Brooklyn","NY","11221","(917)603-8424","Linden Grove","Brooklyn","New Construction","$   4,774,430","2022","06/21/2022","153","152","2022","Brooklyn","40.696478","-73.916396","304","37",,,"433","BK0402"
"Attorney Street Associates LLC","1122","Franklin Avenue","Suite 406","Garden City","NY","11530","(516)248-4817","Clinton Broome Apartments","Manhattan","New Construction","$   6,039,559","2022","06/24/2022","232","231","2022",,,,,,,,,
"Ebenezer Plaza Owner Phase II LLC","456","East 173rd Street","N/A","Bronx","NY","10457","(718)299-7000","Ebenezer Plaza Phase 2","Brooklyn","New Construction","$   6,082,300","2022","06/21/2022","208","207","2022","Bronx","40.841806","-73.901775","203","15","2009492","2029050024","167","BX0302"
"1510 Broadway LLC","1510","Broadway","N/A","Brooklyn","NY","11221","(914)667-7227","1510 Broadway","Brooklyn","New Construction","$   3,463,433","2022","06/16/2022","108","107","2022","Brooklyn","40.686811","-73.917364","316","41","3039905","3014890011","373","BK1601"
"Belmont Cove LLC","656","East 176th Street","N/A","Bronx","NY","10457","(718)366-3800","Belmont Cove Apartments","Bronx","New Construction","$   3,893,242","2022","06/15/2022","153","152","2022","Bronx","40.844227","-73.893184","206","15","2000000","2029450034","36901","BX0602"
"Throop Corners Community LIHTC LLC","217","Wyckoff Avenue","N/A","Brooklyn","NY","11237","(718)366-3800","Throop Corners - Broadway Triangle Site C","Brooklyn","New Construction","$   3,852,295","2022","06/24/2022","140","125","2022","Brooklyn","40.702153","-73.915751","304","37","3326375","3032910001","443","BK0401"
"Bruckner LIHTC Owner LLC","40","Fulton Street","N/A","New York","NY","10038","(212)766-9651","2069 Bruckner","Bronx","New Construction","$   8,082,601","2023","06/28/2023","344","343","2023","Manhattan","40.707904","-74.004411","101","1","1075618","1000750021","1502","MN0101"
"Astoria Towers II LLC","1060","Broad Street","N/A","Newark","NJ","07102","(973)332-7676","Astoria Towers II","Queens","New Construction","$   3,186,470","2023","06/12/2023","106","105","2023",,,,,,,,,
"Whitlock Point LLC","1001","Whitlock Avenue","N/A","Bronx","NY","10459","(914)879-5750","Whitlock Point","Bronx","New Construction","$   6,968,811","2023","06/26/2023","265","264","2023","Bronx","40.823427","-73.887057","202","17","2000000","2027560085","119","BX0202"
"Enclave 241 LP","111","Great Neck Road","Suite 308","Great Neck","NY","11021","(516)216-5450","Wakefield Yards","Bronx","New Construction","$   7,367,542","2023","06/21/2023","251","250","2023",,,,,,,,,
"Blondell Equities LLC","150","East 52nd Street","14th Fl","New York","NY","10022","(212)301-2461","Blondell Commons","Bronx","New Construction","$   6,426,642","2023","06/29/2023","182","181","2023","Manhattan","40.757534","-73.970965","106","4","1036463","1013060042","100","MN0604"
"EC B1 Parcel, LP","45","Rockefeller Plaza","N/A","New York","NY","10111","(212)715-0123","Edgemere Commons B1","Queens","New Construction","$   6,412,972","2023","06/23/2023","237","236","2023","Manhattan","40.759204","-73.978335","105","4","1083860","1012660001","104","MN0502"
"Glenmore Manor Apartments LLC","2009","Flatbush Avenue","N/A","Brooklyn","NY","11234","(347)332-7037","Glenmore Manor Apartments","Brooklyn","New Construction","$   7,891,041","2023","06/21/2023","233","232","2023","Brooklyn","40.62067","-73.934765","318","45","3219619","3078670108","650","BK1801"
"Peninsula Building 2 LIHTC LLC","88","Pine Street","27th Fl","New York","NY","10005","(347)497-1300","The Peninsula Phase 2","Bronx","New Construction","$   11,849,408","2023","06/27/2023","359","357","2023","Manhattan","40.70536","-74.00629","101","1","1000876","1000380017","7","MN0101"
"Willets Point Phase 1 Owner, LLC","30","Hudson Yards","Fl 72","New York","NY","10001","(212)801-3511","Willets Point - Phase 1","Queens","New Construction","$   12,354,949","2023","11/20/2023","881","461","2023","Manhattan","40.753717","-73.99978","104","3","1088961","1007027501","9903","MN0401"
"FRV Phase 5 LIHTC LLC","902","Broadway","13th Fl","New York","NY","10010","(212)243-9090","Rockaway Village Phase 5","Queens","New Construction","$   12,270,627","2023","12/21/2023","385","383","2023","Manhattan","40.739279","-73.989726","105","2","1016201","1008490016","52","MN0501"
"New Providence Housing Owner LLC","200","Varick Street","9th Fl","New York","NY","10014","(212)620-0340","New Providence","Manhattan","New Construction","$   3,354,158","2023","12/18/2023","131","130","2023","Manhattan","40.728347","-74.005343","102","3","1008118","1005207503","37","MN0201"
"Spring Creek 26A Owner LLC","155","3rd Street","N/A","Brooklyn","NY","11231","718-576-3708","Nehemiah Spring Creek Site 26A","Brooklyn","New Construction","$   6,329,704","2024","04/11/2024","184","183","2023","Brooklyn","40.676493","-73.990915","306","39","3000000","3004620012","77","BK0601"
"Livonia C3 Housing Development Fund Corporation","191","Joralemon Street","N/A","Brooklyn","NY","11201","718-722-6239","Livonia C3","Brooklyn","New Construction","$   6,766,274","2024","04/11/2024","142","141","2023","Brooklyn","40.692671","-73.991785","302","33","3002244","3002550008","9","BK0201"
"Samaritan Daytop Foundation. (SDV)","138-02","Queens Boulevard","N/A","Briarwood","NY","11435","718-208-2000","Samaritan Highbridge Development","Bronx","New Construction","$   11,009,239","2024","06/25/2024","316","315","2024","Queens","40.708675","-73.8185","408","24","4206508","4096480001","214","QN0805"
"Maspeth B2 Owner LLC","826","Broadway","N/A","New York","NY","10003","212-777-9500","Kingsland Commons - Building 2","Brooklyn","New Construction","$   10,784,850","2024","06/26/2024","311","310","2024","Manhattan","40.733326","-73.991077","102","2","1009208","1005640034","61","MN0202"
"Starhill Phase II Owner LLC","463","Seventh Avenue","N/A","New York","NY","10018","619-318-2243","Starhill Phase II","Bronx","New Construction","$   7,036,133","2024","06/26/2024","244","243","2024","Manhattan","40.751749","-73.990057","105","3","1015222","1008110001","109","MN0502"
"DD Bedford Low LLC","7","Penn Plaza","N/A","New York","NY","10001","212-400-9294","2868 Webster Avenue","Bronx","New Construction","$   8,327,039","2024","06/24/2024","277","276","2024","Manhattan","40.74969","-73.993431","105","3","1014343","1007800036","101","MN0501"
"Red Hook Building C Owner LLC","144","Spencer Street","N/A","Brooklyn","NY","11205","845-368-0004","Columbia Street Building C","Brooklyn","New Construction","$   7,600,000","2024","12/18/2024","371","296","2024","Brooklyn","40.694144","-73.9551","303","33","3048556","3017500024","241","BK0301"
"ACMH Jerome Avenue Apartments LP","254","West 31st Street","N/A","New York","NY","10001","212-274-8558","Ilse Hoffman House","Bronx","New Construction","$   4,536,909","2024","12/17/2024","175","174","2024","Manhattan","40.749734","-73.993532","105","3","1014347","1007800071","101","MN0501"
"160 Van Cortlandt Park South Owner (Affordable), L.L.C.","45","Rockefeller Plaza","N/A","New York","NY","10111","646-983-3289","160 Van Cortlandt Park South","Bronx","New Construction","$   5,676,307","2024","12/16/2024","238","237","2024","Manhattan","40.759204","-73.978335","105","4","1083860","1012660001","104","MN0502"
